_id,target_words,responses,age,gender,readingSkills,writingSkills,listeningSkills,speakingSkills,average_rating
66391e2fd8a5b440f8968cfa,"['खेत,घोड़ा,फूलदान,धुआं,पहाड़,नाशपाती,दरवाजा,मछली,अंगूठा,गार्ड,पार्क,ब्रश']","['विदाई ,घोड़ा ,मछली ,धन्यवाद ,,कटोरी ,धन्यवाद ,पेड़ ,मछली ,धन्यवाद ,गार्ड ,पार्क ,ब्रश ']",19.0,Male,3.0,3.0,2.0,2.0,2.5
66391e36d8a5b440f8968d00,"['बैंड,कटोरा,पाइप,पंखा,कटोरा,बत्तख,डिब्बा,बनियान,चिड़ियाघर,कलम,घोंघा,भुट्टा']","['विधायी ,कटोरी ,फ़ोन ,खेत ,पीना ,कटोरी ,खेत ,भोला ,बनियान ,चिड़ियाघर ,बर्फ ,अंगूठा ,']",19.0,Male,4.0,3.0,4.0,2.0,3.25
66391e84d8a5b440f8968d10,"['मटर,दस्ताना,तिल,स्नान,झील,मुर्गी,अंगूठा,गुलाब,गुलाब,चावल,नक्शा,रस्सी']","['वि धा ई ,मटर ,रास्थाना ,मटर ,स्नान ,जाल ,चिंगारी ,अंगूठा ,गुलाब ,गुलाब ,चावल ,नक्शा ,रस्सी ']",21.0,Male,2.0,2.0,2.0,2.0,2.0
66391fc6d8a5b440f8968d30,"['बटुआ,चांद,छेद,शर्ट,घोंसला,जूता,कवच,पैसा,गाड़ी,खाना,गुलाब,चूहा']","['धन्यवाद् ,प्लेट ,घड़ी ,तालाब ,मंडल ,बोर्ड ,दिल ,लहर ,पूँछ ,बनियान ,ब्रश ,पुल ,सीढ़ी ']",24.0,Male,5.0,5.0,5.0,5.0,5.0
66391fffd8a5b440f8968d38,"['झाड़ू,डोरी,बादल,जड़,खच्चर,हवाईजहाज,दुकान,रोटी,पंखा,बैग,स्टोव,सड़क']","['विधाई ,झाडू ,हवाईजहाज़ ,झाड़ू ,पत्थर ,सोफा ,हवाईजहाज ,बादल ,,कछुवा ,बैग ,स्टोव ,सड़क ']",20.0,female,3.0,2.0,1.0,3.0,2.25
6639205ed8a5b440f8968d40,"['सीढ़ी,भाला,हवाईजहाज,बैग,अंगूर,बैग,सेम,नकद,गांजा,पतंग,सोफा,पेड़']","['vidai,सीढ़ी ,बहलफ ,चला ,बेर ,अंगोरा ,बैग ,पट्टिंग ,नेकेड ,भांजा ,पट्टिंग ,बैग ,पेड़ ']",21.0,Male,4.0,4.0,4.0,4.0,4.0
6639209cd8a5b440f8968d46,"['गार्ड,बंदर,खाना,गुड़िया,दलदल,तिल,द्वार,बादल,स्याही,घोड़ा,छत,जाल']","['विदाई ,खण्डी ,बंदर ,काना ,दुचि ,,रोज़न ,बचना ,दीवाना ,छत ,रोजाना ,,आँखे ']",21.0,Male,2.0,2.0,3.0,3.0,2.5
663920b6d8a5b440f8968d4c,"['धुआं,खच्चर,बिस्तर,आंधी,चाभी,बहार,ब्रश,नाखून,साबुन,बादल,दुनिया,हाथगाड़ी']","['बी डा इ ,धू आ ,खा चा र ,टी ली ,,चाब भि ,ठंड आ   ,ब्र श ,,,सी श ,दु नि या ,हा थ गा डी ']",25.0,Male,4.0,3.0,4.0,3.0,3.5
663920fbd8a5b440f8968d52,"['थैला,संकेत,आंधी,धुआं,लड़का,फिल्म,पिन,ज्योति,टैंक,कौआ,बाज़,कलम']","['विदाई ,थैला ,संकेत ,आंधी ,धुआं ,,,लड़का ,ज्योति ,टैंक ,,,']",21.0,M,5.0,4.0,4.0,4.0,4.25
66392182d8a5b440f8968d58,"['अंगूठा,गड्ढा ,विद्यालय,मछली,रक्षक,पोशाक,छड़ी,पूंछ,नाव,दरवाजा,दलदल,चींटी']","['विदेया धन्यवाद् ,अंगूठा ,गड्डा ,विद्यालय ,मछली ,रक्षक ,पोशाक ,छड़ी ,पूंछ ,नाव ,दरवाजा ,दलदल ,चींटी ']",23.0,Female,1.0,1.0,1.0,1.0,1.0
